Station,OS X,OS Y,Latitude,Longitude,Zone,Postcode
Silver Street,533544,192472,51.61524236180803,-0.07258974125866192,"4",N18 1QX
South Acton,520166,179279,51.49968538827372,-0.27021520326622445,"3",W3 0DS
South Hampstead,526425,184081,51.54147655809487,-0.17837119811462532,"2",NW8 0DJ
South Kenton,517350,187153,51.571043947551274,-0.3081429717620929,"4",HA9 8QT
South Tottenham,533697,188599,51.580402471228126,-0.0718559563059047,"3",N15 6ND
Southbury,534803,196199,51.648433641300066,-0.05298331040026236,"5",EN3 4HW
St James Street,536402,188694,51.580608613025774,-0.03280456167946685,"3",E17 7PJ
Stamford Hill,533381,187928,51.57444748083396,-0.07666834157285661,"3",N16 5AG
Stoke Newington,533710,186845,51.56463749414495,-0.07233539437869028,"2",N16 6YA
Stonebridge Park,519690,184197,51.54398610565641,-0.2754004371046793,"3",NW10 0RW
Stratford,538533,184421,51.54169257587399,-0.003751641027190752,"3",E15 1AZ
Surrey Quays,535641,178954,51.49326678162275,-0.04752998752630568,"2",SE16 2UE
Sydenham,535311,171609,51.42734116410619,-0.05508867076422299,"3",SE26 5EU
Theobalds Grove,535933,201119,51.69237253480553,-0.034748134343809224,"7",EN8 7BG
Turkey Street,535129,198903,51.67265358634988,-0.0472299312310293,"6",EN3 5TT
Upminster,556167,186833,51.558763771001516,0.2514008048009922,"6",RM14 2TD
Upper Holloway,529778,186630,51.56362309586845,-0.1291093626941063,"2",N19 4DJ
Walthamstow Central,537286,188986,51.58301808337606,-0.019940545005550973,"3",E17 7LP
Walthamstow Queens Road,537020,188815,51.58154615511213,-0.02384394330088981,"3",E17 7QZ
Wandsworth Road,529354,176226,51.47022297701061,-0.13903767462851535,"2",SW8 4PA
Wanstead Park,540592,185600,51.5517781243521,0.026389943051784676,"3",E7 0HU
Wapping,535030,180170,51.50434022750495,-0.05586081435523968,"2",E1W 3PA
Watford High Street,511360,196098,51.65265306624417,-0.39169672037794695,"8",WD17 2EG
Watford Junction,511023,197340,51.66388236768592,-0.39617194802380823,"",WD17 1ET
Wembley Central,518214,185039,51.55186429753856,-0.2963923219160409,"4",HA9 6AG
West Brompton,525383,178030,51.48732859696135,-0.19553880967042786,"2",SW5 9JX
West Croydon,532188,166098,51.378552009432326,-0.10203429230263733,"5",CR0 2TA
West Hampstead,525524,184726,51.54747402267271,-0.19112658344309522,"2",NW6 2LX
White Hart Lane,533693,191340,51.60503465751185,-0.07087032653563699,"3",N17 7RP
Whitechapel,534738,181859,51.5195876908872,-0.05942048498810923,"2",E1 1BY
Willesden Junction,521905,182942,51.53223356661704,-0.24390913983767806,"3",NW10 4RA
Wood Street,538521,189426,51.586669943466376,-0.0019538980131841846,"4",E17 3NZ
Woodgrange Park,541861,185332,51.54905261091028,0.04457249622679908,"3,4",E7 8AA
